,gene_symbol,gene_id,SL409298
0,TSPAN6,ENSG00000000003.15,0.04
1,TNMD,ENSG00000000005.6,0.0
2,DPM1,ENSG00000000419.12,29.79
3,SCYL3,ENSG00000000457.14,3.88
4,C1orf112,ENSG00000000460.17,2.18
5,FGR,ENSG00000000938.13,56.91
6,CFH,ENSG00000000971.15,0.32
7,FUCA2,ENSG00000001036.14,2.91
8,GCLC,ENSG00000001084.13,167.68
9,NFYA,ENSG00000001167.14,6.93
10,STPG1,ENSG00000001460.18,0.98
11,NIPAL3,ENSG00000001461.17,2.43
12,LAS1L,ENSG00000001497.16,11.95
13,ENPP4,ENSG00000001561.7,1.84
14,SEMA3F,ENSG00000001617.12,0.01
15,CFTR,ENSG00000001626.15,0.17
16,ANKIB1,ENSG00000001629.10,38.35
17,CYP51A1,ENSG00000001630.17,7.0
18,KRIT1,ENSG00000001631.15,21.65
19,RAD52,ENSG00000002016.18,7.81
20,MYH16,ENSG00000002079.14,0.0
21,BAD,ENSG00000002330.13,1.92
22,LAP3,ENSG00000002549.12,8.22
23,CD99,ENSG00000002586.20,271.25
24,CD99,ENSG00000002586.20_PAR_Y,0.0
25,HS3ST1,ENSG00000002587.10,0.76
26,AOC1,ENSG00000002726.20,0.14
27,WNT16,ENSG00000002745.13,5.07
28,HECW1,ENSG00000002746.15,0.0
29,MAD1L1,ENSG00000002822.15,13.35
30,LASP1,ENSG00000002834.18,22.73
31,SNX11,ENSG00000002919.14,6.18
32,TMEM176A,ENSG00000002933.9,0.42
33,M6PR,ENSG00000003056.8,84.88
34,KLHL13,ENSG00000003096.14,0.04
35,CYP26B1,ENSG00000003137.8,0.0
36,ICA1,ENSG00000003147.19,0.47
37,DBNDD1,ENSG00000003249.13,0.22
38,ALS2,ENSG00000003393.15,8.83
39,CASP10,ENSG00000003400.14,3.82
40,CFLAR,ENSG00000003402.20,54.32
41,TFPI,ENSG00000003436.16,0.07
42,NDUFAF7,ENSG00000003509.16,8.74
43,RBM5,ENSG00000003756.17,63.11
44,MTMR7,ENSG00000003987.14,0.96
45,SLC7A2,ENSG00000003989.17,0.01
46,ARF5,ENSG00000004059.11,24.78
47,SARM1,ENSG00000004139.14,2.52
48,POLDIP2,ENSG00000004142.12,13.01
49,PLXND1,ENSG00000004399.12,12.32
50,AK2,ENSG00000004455.17,82.17
51,CD38,ENSG00000004468.13,2.01
52,FKBP4,ENSG00000004478.8,4.36
53,KDM1A,ENSG00000004487.16,9.82
54,RBM6,ENSG00000004534.15,28.81
55,CAMKK1,ENSG00000004660.15,0.66
56,RECQL,ENSG00000004700.16,12.15
57,VPS50,ENSG00000004766.17,16.82
58,HSPB6,ENSG00000004776.13,0.03
59,ARHGAP33,ENSG00000004777.18,0.93
60,NDUFAB1,ENSG00000004779.10,12.39
61,PDK4,ENSG00000004799.8,2.74
62,SLC22A16,ENSG00000004809.14,0.02
63,ZMYND10,ENSG00000004838.14,0.1
64,ABCB5,ENSG00000004846.16,0.0
65,ARX,ENSG00000004848.8,0.0
66,SLC25A13,ENSG00000004864.13,15.67
67,ST7,ENSG00000004866.20,3.5
68,CDC27,ENSG00000004897.12,16.21
69,SLC4A1,ENSG00000004939.15,0.11
70,CALCR,ENSG00000004948.15,0.0
71,HCCS,ENSG00000004961.15,17.67
72,DVL2,ENSG00000004975.12,13.25
73,PRSS22,ENSG00000005001.10,0.01
74,UPF1,ENSG00000005007.12,8.53
75,SKAP2,ENSG00000005020.13,26.69
76,SLC25A5,ENSG00000005022.6,40.05
77,MCUB,ENSG00000005059.16,19.11
78,HOXA11,ENSG00000005073.5,0.0
79,POLR2J,ENSG00000005075.15,50.77
80,DHX33,ENSG00000005100.13,2.68
81,MEOX1,ENSG00000005102.13,0.0
82,THSD7A,ENSG00000005108.16,0.03
83,LIG3,ENSG00000005156.12,13.56
84,RPAP3,ENSG00000005175.10,13.85
85,ACSM3,ENSG00000005187.12,2.25
86,REXO5,ENSG00000005189.19,0.11
87,CIAPIN1,ENSG00000005194.15,9.11
88,SPPL2B,ENSG00000005206.17,2.18
89,FAM214B,ENSG00000005238.19,0.3
90,COPZ2,ENSG00000005243.10,0.15
91,PRKAR2B,ENSG00000005249.13,0.19
92,MSL3,ENSG00000005302.19,20.12
93,CREBBP,ENSG00000005339.14,133.16
94,TSPOAP1,ENSG00000005379.17,0.38
95,MPO,ENSG00000005381.8,0.18
96,PON1,ENSG00000005421.9,0.04
97,GCFC2,ENSG00000005436.14,7.15
98,WDR54,ENSG00000005448.16,2.48
99,CROT,ENSG00000005469.11,3.44
100,ABCB4,ENSG00000005471.17,37.98
101,KMT2E,ENSG00000005483.21,72.66
102,RHBDD2,ENSG00000005486.17,7.21
103,SOX8,ENSG00000005513.10,0.04
104,IBTK,ENSG00000005700.15,10.54
105,ZNF195,ENSG00000005801.18,31.93
106,MYCBP2,ENSG00000005810.18,47.18
107,FBXL3,ENSG00000005812.11,10.63
108,ITGAL,ENSG00000005844.18,10.33
109,PDK2,ENSG00000005882.12,44.02
110,ITGA3,ENSG00000005884.18,5.94
111,ZFX,ENSG00000005889.15,52.07
112,LAMP2,ENSG00000005893.15,30.59
113,ITGA2B,ENSG00000005961.19,0.56
114,ASB4,ENSG00000005981.13,0.0
115,GDE1,ENSG00000006007.12,4.0
116,REX1BD,ENSG00000006015.17,3.04
117,CRLF1,ENSG00000006016.11,0.04
118,OSBPL7,ENSG00000006025.12,3.16
119,TMEM98,ENSG00000006042.12,0.06
120,YBX2,ENSG00000006047.13,0.0
121,KRT33A,ENSG00000006059.4,0.0
122,MAP3K14,ENSG00000006062.17,21.38
123,ABCC8,ENSG00000006071.14,0.58
124,CACNG3,ENSG00000006116.3,0.01
125,TMEM132A,ENSG00000006118.14,0.72
126,AP2B1,ENSG00000006125.18,32.47
127,TAC1,ENSG00000006128.12,0.0
128,ZNF263,ENSG00000006194.10,13.56
129,CX3CL1,ENSG00000006210.7,0.0
130,SPATA20,ENSG00000006282.21,8.32
131,CACNA1G,ENSG00000006283.18,0.03
132,TNFRSF12A,ENSG00000006327.13,0.0
133,DLX6,ENSG00000006377.11,0.0
134,MAP3K9,ENSG00000006432.15,6.06
135,RALA,ENSG00000006451.8,7.94
136,BAIAP2L1,ENSG00000006453.14,0.04
137,KDM7A,ENSG00000006459.11,29.84
138,ETV1,ENSG00000006468.14,0.0
139,AGK,ENSG00000006530.18,5.38
140,ALDH3B1,ENSG00000006534.16,0.46
141,TTC22,ENSG00000006555.11,0.56
142,PHTF2,ENSG00000006576.16,21.05
143,CCL26,ENSG00000006606.8,0.0
