"","Marker","Gene.Symbol","gene_id","Ensembl.Gene.ID","A039981","A039974","A039962","A039968","A039980","A039953","A039961","A039978","A039952","A039969","A039958","A039976","A039971","A039973","A039977","A039959","A039972","A039956","A039970","A039975","A039966","A040093","A040095","A040096","A006746","A040098","A040100","A040105","A040106","A040107","A040108","A040109","A040111","A040112","A040113","A040114","A039967","A040104","A049252","A049247","A049250","A049233","A049246","A049236","A049237","A049229","A049248","A049227","A049242","A049243","A049239","A049231","A049244","A049245","A006690","A006748","A006747","A006745","A008279","A008282","A008275","A008280","A008283","A008289","A008273","A008286","A008287","A008277","A008278","A008281","A008288","A010857","A010845","A010850","A010844","A010848","A010849","A010853","A010858","A010912","A008274","A028339","A028331","A028332","A028340","A028334","A028333","A028335","A028337","A029219","A029218","A029215","A029224","A029228","A029225","A029220","A029229","A029214","A029217","A029221","A029222","A029227","A030210","A030204","A030205","A030207","A030212","A030213","A030206","A030214","A030992","A030981","A030982","A030996","A030997","A032148","A030983","A030985","A030986","A032142","A032147","A030984","A030987","A030991","A030995","A032139","A032149","A030988","A030989","A030990","A030993","A030994","A031000","A032145","A032154","A030999","A032137","A032143","A033913","A033914","A033912","A033915","A033916","A033917","A033918","A035447","og_Marker"
"1","CD38","CD38","ENSG00000004468.13","ENSG00000004468",1113,840,495,2949,4867,788,883,219,439,250,345,663,861,1173,1928,165,20,3000,1501,2971,327,129,529,249,460,2212,3329,195,966,596,174,644,855,139,762,206,402,167,311,1163,850,1977,18,358,379,633,565,924,3051,5303,4029,2688,2653,3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,1658,878,185,28,164,1289,932,917,29,310,70,58,77,571,723,137,20,103,66,727,171,1640,1514,59,383,253,41,2272,899,23,50,1656,13,335,712,186,1020,537,29,395,69,1101,6500,36,3885,93,1511,3181,4861,13906,8315,675,51,1160,264,88,6946,2355,1411,4808,5887,855,15441,568,"CD38"
"2","CD4","CD4","ENSG00000010610.10","ENSG00000010610",8008,253,649,242,112,471,6764,2786,164,355,1048,1300,40,298,7545,2521,220,5466,4907,96,1735,1498,673,781,1068,813,645,1080,1237,1640,1338,659,3578,2801,364,597,87,960,2537,1128,716,518,266,514,773,1090,2519,532,367,363,216,1904,163,1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,7838,6279,8105,182,193,430,1352,626,192,1238,2284,534,816,2617,3505,1513,653,607,681,1037,1699,17597,1143,302,128,193,613,6944,3077,342,1264,2287,118,3058,1093,139,2644,1425,813,462,311,2375,2626,46,1559,318,137,11727,330,1007,1374,8290,10,1333,2514,2252,2743,75,7820,94,149,9982,185,378,"CD4"
"3","CD22","CD22","ENSG00000012124.17","ENSG00000012124",351,123,112,5008,86,492,1497,94,221,4876,10597,2962,882,3065,981,3314,8165,47,695,4285,136,123,222,586,2817,82,1044,444,459,287,217,1742,510,337,74,347,158,3886,513,87,65,35,16,6000,54,2299,76,11,1697,95,5404,149,737,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,1511,108,8732,3686,15363,3471,94,6663,15500,11442,117,39427,12989,11598,9000,3512,3572,6622,2547,5227,9338,59,12563,13717,4756,3219,6051,1698,127,2,17258,853,4039,14026,7,131,101,209,3575,45,8,2431,472,10456,2274,13103,11378,2590,461,405,1372,4323,6929,366,10329,18151,3005,151,895,2969,148,401,14812,2909,"CD22"
"4","CD45","PTPRC","ENSG00000081237.20","ENSG00000081237",43462,60479,14805,45736,13615,41877,171220,52991,64885,75360,97325,75528,60609,83574,107060,138249,87595,179824,107217,47661,34911,6332,38884,9486,107019,28432,11723,37892,19757,20259,25917,21923,59209,42526,18199,15663,13369,68127,19934,9488,123590,12861,7231,50953,96525,112473,60978,13698,37653,40562,67484,24621,39769,66175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42009,119280,63574,247440,178771,154883,173292,105034,170965,86285,90219,45984,108222,137813,136266,233189,92331,69559,57609,120991,200964,187940,291460,364680,238497,30476,87890,322220,529826,84968,7790,289328,71541,124940,236823,28105,7960,41563,31475,145797,9410,7384,75859,143775,141045,103751,251367,197304,222834,135649,77382,88865,301536,139243,63981,261729,265622,161149,81241,364112,217512,72428,205523,65715,77735,"CD45"
"5","CD103","ITGAE","ENSG00000083457.12","ENSG00000083457",486,93,72,559,755.99,82,219.83,417.69,967,433,404,513.81,441,788,556.57,924,589.1,347.52,745.22,3156.25,271,86.04,322,60,315,360,93,317.57,419.1,198,112.52,143,410.01,344,326,97,225.54,427,133,28.21,496,1003.74,37.65,125,396.04,234,427,283.53,272,453.16,415,1067.39,1246.96,196.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,245.77,180,311,365,345,240,196.41,168,243.85,472.04,240,635,426,461,459,281,383,307,327,395,240,781.63,165.3,406,256,159.46,503,297.58,461,254,576,617,666,469,154.66,12,120,198,227,279.15,75,176,1515.83,317,823,440,529,387.36,325.13,4767.77,886,308,481,346,464,526,452,244.77,420.82,4809.5,534,238.9,594,1094,"CD103"
"6","MDR.1","ABCB1","ENSG00000085563.14","ENSG00000085563",690.72,7190.7,1229.63,408,313,6636.52,4057.66,21,31330.54,444.4,5011.03,1952,29.14,684.34,1986,1663.75,1354.56,3087,206.31,224,834.9,138,626.61,508.43,4869.91,851,563.9,1981.7,383,951,268,678,739,9568.6,293,232,441,1000.7,1377.42,63.07,481.96,406,602.92,1111.23,172,1862.76,4077.4,4883.65,1151.15,1932.63,533.32,137,57.19,2413.09,812.3,2338.65,1870.96,2113.97,218,752.71,8951.89,657.97,104,1071.95,622,8790.84,5809.35,1363.11,3610.82,237.23,300.3,1140.97,94,3840.72,1787.02,9262.86,2738.49,32.05,1148,45,5793.98,3462,1126.53,196,6796.62,1161.08,160.55,1875.75,3192.67,2377.38,2367.28,1976.48,1156,1740.04,1279.16,1687.27,7796.58,763.97,726.74,1565.32,643.08,7802.36,2674.4,35,2162.2,4922.64,386.73,1977.54,1326.44,8845.86,2273,123,1393.5,10740.92,926.25,3545.35,1009,84.17,378.75,689,7658.26,115,302.99,1784,4359.79,9817.68,2848,1516.88,4266.33,753,25437.84,759,19064,6364,4068.89,2213,1719.22,2821.18,1992,17576.93,670.01,135.03,11889.88,900.46,514.55,826.5,"MDR-1"
"7","CD33","CD33","ENSG00000105383.15","ENSG00000105383",1333,11,449,50,704,121,416,979,439,20,127,417,4,18,1237,283,7,967,1838,17,244,96,355,16,150,341,3,92,333,286,386,39,814,479,458,94,144,159,129,135,1091,161,2,446,1133,352,276,49,12,357,102,5,61,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2030,3649,938,1,31,71,3654,40,4,3,130,83,258,1203,1168,272,155,71,90,451,393,5444,204,133,108,171,157,2438,547,335,361,116,15,958,450,142,1364,470,24,241,68,18,4313,13,1558,79,3,5826,257,3379,973,2646,4,145,848,328,6777,105,6080,28,1174,4273,63,48,"CD33"
"8","CD5","CD5","ENSG00000110448.11","ENSG00000110448",678,975,374,156,39,513,2763,61,404,4570,2210,1595,4325,1834,856,2272,3973,2494,254,177,2208,486,229,966,1679,88,54,3702,596,303,156,352,417,2484,188,296,133,1245,1652,31,73,111,304,131,67,827,111,39,1121,181,276,561,234,1669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4761,1406,111,7381,5378,2949,3143,126,4256,2187,4014,6254,3380,4900,2318,6677,18132,2370,2954,7380,5330,6668,16,7398,2402,111,3400,5928,7093,3569,53,3695,867,6016,5088,26,1,137,74,8990,0,183,2073,424,1714,588,9141,3287,503,168,223,1227,4881,5172,1032,1892,9406,208,110,116,264,573,58,104,1097,"CD5"
"9","ZAP.70.mutated","ZAP70","ENSG00000115085.13","ENSG00000115085",2415,1433,6775,5513,869,11022,14446,388,1264,3101,1670,3342,1750,3933,2652,4106,4315,9571,527,2439,2434,3910,1851,17849,6768,1142,6481,6040,759,2637,454,4808,1602,12564,195,1168,1732,1674,8516,1046,568,5550,1920,1613,131,952,3453,3071,11447,1281,12259,12281,695,5186,3476,1288,570,223,377,1584,154,63,4317,1354,586,4512,1680,872,572,2354,378,2325,79,743,499,7781,3518,842,6020,59,1557,3775,2442,518,4428,9624,1937,1155,820,5265,7997,5375,3265,1689,1601,1756,5603,680,265,278,995,2781,4433,24,2716,384,690,2649,428,16921,3436,77,653,4322,675,1643,198,15,374,157,1816,300,150,2317,1137,443,937,2772,2915,535,229,236,942,5926,66,671,3095,3201,422,194,373,789,237,70,5364,4279,"ZAP-70"
"10","CD138","SDC1","ENSG00000115884.11","ENSG00000115884",139,25,232,120,22,5,0,3,0,2,0,0,0,0,6,0,0,0,6,0,11,0,5,80,16,6,47,21,17,15,11,131,15,7,9,47,4,0,0,3,0,18,0,1,1,22,0,10,12,28,0,18,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,20,34,7,2,8,3,8,11,527,5,22,12,63,24,13,16,58,27,27,3,1,1,3,77,1,4,2,19,7,3,32,2,4,2,21,2,9,0,1,2,3,27,0,158,0,3,6,8,1631,21,10,0,8,8,5,184,23,32,20,30,24,349,6,"CD138"
