,Name,Term,ES,NES
0,A033915,Myc Targets V1,9927.542645818774,1.1970805922157133
1,A033918,Myc Targets V1,9743.467472095203,1.1748844832857728
2,A010853,Myc Targets V1,9635.564686791744,1.1618733752259962
3,A032148,Myc Targets V1,9631.269015294502,1.1613553955845741
4,A030982,Myc Targets V1,9629.760111964706,1.1611734493612165
5,A039958,Myc Targets V1,9625.222281359467,1.1606262697476812
6,A030988,Myc Targets V1,9614.67067565298,1.1593539385315301
7,A030207,Myc Targets V1,9605.071796780163,1.1581964887964218
8,A030989,Myc Targets V1,9591.347708126284,1.1565416139941136
9,A030205,Myc Targets V1,9590.452715197353,1.1564336941690756
10,A039971,Myc Targets V1,9589.79068463068,1.1563538653563379
11,A030997,Myc Targets V1,9585.706798583475,1.1558614231778106
12,A039972,Myc Targets V1,9580.304237629301,1.1552099728544793
13,A035447,Myc Targets V1,9574.262045789234,1.1544813947114043
14,A032137,Myc Targets V1,9572.163603395029,1.154228360828438
15,A032143,Myc Targets V1,9571.518638534575,1.1541505898286393
16,A033915,Oxidative Phosphorylation,9555.97523456294,1.15227633877828
17,A039973,Myc Targets V1,9553.136739804995,1.151934068076751
18,A032154,Myc Targets V1,9547.369499498956,1.1512386440743256
19,A032139,Myc Targets V1,9543.893108323644,1.1508194546983255
20,A039959,Myc Targets V1,9535.518163585053,1.1498095890986377
21,A028333,Myc Targets V1,9531.644704801483,1.1493425206104946
22,A029229,Myc Targets V1,9527.360254218578,1.148825894006703
23,A040104,Myc Targets V1,9514.74457362284,1.147304673001915
24,A029227,Myc Targets V1,9511.30202085203,1.146889563920379
25,A010844,Myc Targets V1,9508.53938924225,1.1465564409309852
26,A030206,Myc Targets V1,9507.31619713967,1.1464089462710487
27,A008288,Myc Targets V1,9506.043916945313,1.1462555324824746
28,A008277,Myc Targets V1,9501.08562636787,1.1456576530643166
29,A029214,Myc Targets V1,9500.476768089557,1.1455842358598398
30,A008289,Myc Targets V1,9481.580883346109,1.14330573676836
31,A029221,Myc Targets V1,9468.612614382764,1.1417420000366731
32,A008287,Myc Targets V1,9467.350629448463,1.1415898276687049
33,A030213,Myc Targets V1,9456.958231301525,1.1403366939807305
34,A029217,Myc Targets V1,9454.881888934471,1.1400863249579953
35,A029220,Myc Targets V1,9449.880950824205,1.1394833030251514
36,A039973,Protein Secretion,9444.146242853494,1.138791801829067
37,A028340,Myc Targets V1,9442.129773220158,1.1385486523661055
38,A035447,Oxidative Phosphorylation,9430.496741104484,1.1371459208472274
39,A032145,Myc Targets V1,9428.181370592276,1.1368667293893977
40,A030982,Oxidative Phosphorylation,9404.77412578563,1.1340442425490034
