Gene stable ID version,Gene name
ENSG00000007255.10,TRAPPC6A
ENSG00000007314.12,SCN4A
ENSG00000007384.15,RHBDF1
ENSG00000008130.15,NADK
ENSG00000010327.10,STAB1
ENSG00000011052.21,NME1-NME2
ENSG00000013725.14,CD6
ENSG00000016602.9,CLCA4
ENSG00000019995.6,ZRANB1
ENSG00000020219.9,CCT8L1P
ENSG00000025423.11,HSD17B6
ENSG00000031823.14,RANBP3
ENSG00000035664.11,DAPK2
ENSG00000037241.7,RPL26L1
ENSG00000040199.18,PHLPP2
ENSG00000040731.10,CDH10
ENSG00000048707.15,VPS13D
ENSG00000060303.5,RPS17P5
ENSG00000064195.7,DLX3
ENSG00000065491.8,TBC1D22B
ENSG00000066813.14,ACSM2B
ENSG00000068781.21,STON1-GTF2A1L
ENSG00000069206.15,ADAM7
ENSG00000069812.11,HES2
ENSG00000069998.12,HDHD5
ENSG00000070610.14,GBA2
ENSG00000071189.21,SNX13
ENSG00000071203.9,MS4A12
ENSG00000073905.8,VDAC1P1
ENSG00000076641.4,PAG1
ENSG00000077254.14,USP33
ENSG00000083814.13,ZNF671
ENSG00000088053.11,GP6
ENSG00000088448.14,ANKRD10
ENSG00000089012.14,SIRPG
ENSG00000089163.4,SIRT4
ENSG00000090061.17,CCNK
ENSG00000092009.10,CMA1
ENSG00000093100.13,
ENSG00000094661.3,OR1I1
ENSG00000095319.14,NUP188
ENSG00000096070.19,BRPF3
ENSG00000096088.16,PGC
ENSG00000099917.17,MED15
ENSG00000100084.14,HIRA
ENSG00000100101.15,
ENSG00000100104.13,SRRD
ENSG00000100815.12,TRIP11
ENSG00000100985.7,MMP9
ENSG00000101200.5,AVP
ENSG00000101222.12,SPEF1
ENSG00000101278.6,RPS10P5
ENSG00000101384.12,JAG1
ENSG00000101405.3,OXT
ENSG00000102128.8,RAB40AL
ENSG00000102531.16,FNDC3A
ENSG00000102539.5,MLNR
ENSG00000102543.14,CDADC1
ENSG00000103335.22,PIEZO1
ENSG00000103426.12,CORO7-PAM16
ENSG00000103832.10,GOLGA8UP
ENSG00000104327.7,CALB1
ENSG00000104415.14,CCN4
ENSG00000104827.12,CGB3
ENSG00000104960.15,PTOV1
ENSG00000104983.8,CCDC61
