,UMAP1,UMAP2
A039956,-4.318362,8.915801
A039970,-4.3250494,9.140584
A039973,-5.2839284,8.314268
A039977,-4.7096953,9.110862
A049227,-7.186311,10.309625
A040107,-5.135946,10.2074995
A028331,-3.4907808,8.399547
A040095,-5.5532413,10.529367
A040104,-4.981012,8.272284
A040105,-5.9574084,8.970852
A029218,-6.962934,8.940779
A029229,-5.2865953,7.0837765
A030204,-4.071393,9.411447
A030206,-5.5289855,6.7049747
A039958,-5.2597623,8.061022
A010845,-3.6392226,9.722774
A010849,-4.1213765,8.815298
A010857,-3.6172931,9.229347
A032145,-4.850165,7.643966
A032148,-5.3120756,7.443631
A032149,-6.36443,9.872652
A029217,-6.3058286,7.606097
A029219,-6.0323668,7.040912
A029220,-5.22904,7.6466317
A029221,-6.16146,7.885931
A029222,-6.1640835,7.097913
A029227,-5.176399,6.4892006
A030205,-5.0053062,7.228565
A030207,-5.1836753,7.0221596
A049231,-5.566383,9.436849
A049237,-5.6470575,9.388121
A049252,-6.728749,10.219608
A030981,-7.6993237,9.977094
A030988,-5.0977235,6.6582675
A031000,-4.5788956,10.321318
A028340,-5.0962653,6.3749094
A035447,-7.505062,9.866442
A028332,-3.6571028,8.085023
A008288,-5.3794723,7.9691424
A030984,-7.2663245,9.997899
A030999,-6.319906,8.598519
A028334,-6.877018,7.679489
A028339,-7.305208,9.662813
A049233,-7.209168,10.446495
A049236,-6.48125,9.487906
A049246,-6.9775805,10.104518
A033912,-4.214199,9.267596
A010848,-3.8992038,8.649073
A010850,-3.2042475,9.504824
A049239,-5.8856487,9.267744
A049242,-6.25405,9.36727
A049243,-6.610137,10.0703535
A006748,-6.814232,9.57547
A029228,-7.128702,9.005386
A029224,-7.612964,9.760185
A029225,-5.5548897,7.28206
A033913,-3.984485,9.86088
A033914,-6.599904,8.891806
A033918,-3.8849506,10.054617
A033916,-6.102563,8.7021055
A028335,-5.8878508,6.870823
A010912,-3.3346362,9.828682
A039967,-6.473838,10.51324
A039968,-4.8101296,9.723717
A039972,-5.0680413,8.0473175
A039974,-5.800495,10.738686
A039978,-6.3452377,10.385929
A040100,-5.300353,8.88854
A030987,-7.268948,9.859899
A030990,-4.0691395,9.718148
A030991,-7.4749503,10.148168
A030992,-7.232508,9.8037615
A030997,-6.545759,8.453408
A030214,-4.113518,8.238679
A040108,-4.957464,9.915074
A040113,-5.0877767,9.912321
A008274,-3.0335464,9.495294
A008282,-3.369334,9.408672
A008286,-2.9293437,10.006617
A033917,-4.342209,9.816252
A032147,-6.6211667,7.8569927
A032154,-6.476151,7.521754
A008280,-2.8651326,10.112705
A008281,-3.2544959,9.986513
A006746,-4.8701572,8.919272
A006747,-3.1719732,9.865908
A030212,-3.7258031,10.256573
A030210,-5.817058,6.5531073
A008283,-2.7229092,9.934861
A008287,-4.509284,7.027424
A008289,-4.389348,6.8969254
A049247,-7.1348557,10.426456
A008275,-2.8871787,10.12801
A008278,-3.1190727,10.162479
A008279,-3.151485,9.497232
A029215,-7.2537737,9.290628
A030982,-5.228235,6.952042
A032139,-6.73137,7.7272477
A030985,-7.7536883,9.80515
A030989,-5.093561,6.9731307
A030993,-3.6178055,9.982264
A032142,-7.082256,9.64039
A039975,-6.2373004,9.711837
A039976,-5.2732396,9.448833
A039981,-4.6117167,9.412141
A006745,-4.162621,10.249063
A040106,-5.010343,9.441342
A040109,-6.080365,10.062884
A040111,-4.552952,9.395153
A040114,-5.075586,10.36969
A049248,-7.1823955,10.568503
A030996,-5.6896763,9.84134
A006690,-4.4985833,6.629382
A030995,-3.8580346,10.235032
A030213,-5.945938,7.471186
A010858,-3.975132,8.767459
A028333,-5.2911015,6.9897203
A039953,-5.538042,10.707163
A039969,-5.2003765,8.237949
A039971,-5.353466,8.469826
A040098,-4.9926143,9.723474
A028337,-3.3827405,8.684195
A049229,-5.4564295,9.534328
A033915,-3.883284,10.458608
A030983,-7.668346,10.231813
A030986,-7.509468,10.458695
A030994,-6.0805926,10.436131
A039961,-4.3956647,8.682308
A039952,-5.239748,9.225541
A039959,-4.720442,7.930453
A039966,-6.223615,10.742085
A040112,-4.644959,8.464064
A008273,-2.9224706,10.273815
A008277,-4.4688115,6.8178544
A029214,-6.1842546,8.13007
A032137,-4.9418755,6.7468877
A032143,-5.5209455,7.318223
A010844,-4.6241746,6.61417
A010853,-4.3730636,7.8127184
A049244,-5.674136,9.757785
A049245,-5.9600067,9.606527
A049250,-5.911714,9.67041
A039962,-5.978706,10.269091
A039980,-5.348736,10.113657
A040093,-6.739054,10.724314
A040096,-6.5446734,10.799535
