,UMAP1,UMAP2
A039956,6.3342977,5.89119
A039970,6.6507316,5.7926035
A039973,2.3548663,9.536353
A039977,6.8366623,5.7105284
A049227,8.0294075,4.204104
A040107,6.7972136,4.8253636
A028331,3.6869266,8.091037
A040095,7.664992,5.006965
A040104,2.6576393,9.757626
A040105,7.2277694,5.1315136
A029218,2.0835414,7.1140027
A029229,2.6778276,8.021276
A030204,5.7426634,7.0222397
A030206,1.9122185,8.049663
A039958,2.5253494,9.669034
A010845,5.7419357,7.6758
A010849,4.5942993,7.8175025
A010857,4.54918,7.750132
A032145,2.850062,8.55041
A032148,2.5457306,8.870195
A032149,6.7551694,7.5446515
A029217,1.7915868,7.492053
A029219,2.7392411,7.490847
A029220,2.8157218,7.9798236
A029221,1.7307527,7.524222
A029222,2.5410714,7.206202
A029227,2.4432912,7.998142
A030205,2.1148868,8.260431
A030207,1.7635393,8.319214
A049231,8.003089,5.7602916
A049237,7.728353,5.6439147
A049252,7.797782,4.27273
A030981,6.692461,7.229016
A030988,2.019329,8.917732
A031000,6.7313747,7.8998575
A028340,2.6796083,8.003168
A035447,1.9728628,8.727772
A028332,3.7679553,8.132317
A008288,1.2708185,8.767237
A030984,6.594326,6.46721
A030999,6.910557,8.04929
A028334,1.7598084,7.185978
A028339,4.144355,7.478032
A049233,8.112735,4.3686604
A049236,8.105703,5.844253
A049246,7.976202,4.596413
A033912,6.034099,6.919433
A010848,4.513649,7.732102
A010850,5.4993024,8.161068
A049239,7.941218,5.516876
A049242,8.053318,5.7324405
A049243,7.9519897,5.2114882
A006748,5.631595,8.360737
A029228,2.517324,7.21234
A029224,3.9839406,7.5623746
A029225,2.5677004,7.4834614
A033913,6.2290173,7.2235436
A033914,6.824869,8.404928
A033918,7.6811767,7.271161
A033916,6.833472,8.330967
A028335,2.7464733,7.1987343
A010912,6.124299,8.505338
A039967,7.335719,4.7649155
A039968,8.229065,6.1705866
A039972,2.3708663,9.6146
A039974,7.714906,4.8193574
A039978,6.824578,5.8804307
A040100,8.473987,6.112452
A030987,6.811743,6.8508635
A030990,6.254642,7.095324
A030991,6.879676,7.920135
A030992,6.8476806,7.0426064
A030997,1.8976766,8.689689
A030214,4.04473,7.825525
A040108,6.7074995,5.0816965
A040113,6.8676114,5.134673
A008274,5.8721023,8.021467
A008282,5.4448924,8.099766
A008286,5.8190107,8.192198
A033917,6.0283523,6.9490323
A032147,1.6209298,7.25521
A032154,1.352574,7.5630336
A008280,6.1256404,8.605324
A008281,7.4525976,7.680919
A006746,6.354583,5.399185
A006747,6.004948,8.460988
A030212,7.405786,7.694047
A030210,2.6893063,7.33333
A008283,5.9068575,8.707465
A008287,1.3847284,8.83863
A008289,1.2688785,8.859932
A049247,8.126832,4.070111
A008275,6.009648,8.32802
A008278,6.2440114,8.036357
A008279,5.762974,7.3649693
A029215,2.1984708,7.1684113
A030982,2.1443746,9.027577
A032139,1.3550068,7.421656
A030985,6.4479756,7.366157
A030989,1.856549,8.809082
A030993,6.7401676,8.423507
A032142,5.2489724,7.693874
A039975,7.9815226,6.351989
A039976,7.0938697,5.6838756
A039981,6.790762,5.2958817
A006745,5.992489,7.815161
A040106,6.539587,4.9151945
A040109,6.47022,4.844792
A040111,6.650282,5.2559233
A040114,6.546514,4.969912
A049248,8.017673,4.1978803
A030996,6.632725,8.231571
A006690,2.9423394,7.7650747
A030995,6.593993,7.117684
A030213,1.9457505,7.965002
A010858,4.6902,7.6774135
A028333,2.1412401,8.194022
A039953,7.593239,4.309363
A039969,2.6332827,9.899196
A039971,2.3374999,9.747525
A040098,6.7910886,5.3773193
A028337,5.274145,8.403117
A049229,7.511632,5.835443
A033915,7.6863985,7.1595373
A030983,6.5560956,6.5368404
A030986,6.3974853,6.7337227
A030994,6.3539896,7.460329
A039961,6.1747427,5.666247
A039952,7.3705816,5.290891
A039959,2.8032658,9.592514
A039966,7.5472875,4.567326
A040112,6.1474953,5.5162997
A008273,6.0586967,8.558103
A008277,1.3603199,8.931692
A029214,1.9004048,7.559182
A032137,2.3464842,8.895781
A032143,2.4293406,8.833657
A010844,1.4615673,8.563468
A010853,1.1988678,8.706209
A049244,7.9289613,6.1540394
A049245,7.670353,5.3893194
A049250,8.14776,5.131737
A039962,6.8475776,4.406907
A039980,7.0670133,5.320692
A040093,6.9248886,4.4451423
A040096,6.955405,4.2866373
